model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
small_cnn,5,severe,moderate,42,0.001,0.25462962962962965,0.22241484231504877,0.5,549290
small_cnn,5,severe,severe,42,0.001,0.2637037037037037,0.2370295524954043,0.5,549290
small_cnn,5,severe,none,123,0.001,0.22481481481481483,0.19513673987951335,0.5,549290
small_cnn,5,severe,moderate,123,0.001,0.2324074074074074,0.20186192665084124,0.5,549290
small_cnn,5,severe,severe,123,0.001,0.25166666666666665,0.22309927893119003,0.5,549290
small_cnn,5,severe,none,7,0.001,0.3233333333333333,0.273535045605207,0.5,549290
small_cnn,5,severe,moderate,7,0.001,0.32092592592592595,0.2708214236925867,0.5,549290
small_cnn,5,severe,severe,7,0.001,0.3175925925925926,0.26799579107558197,0.5,549290
small_cnn,5,severe,none,2024,0.001,0.2575925925925926,0.22658762238036853,0.5,549290
small_cnn,5,severe,moderate,2024,0.001,0.2562962962962963,0.2257088763315192,0.5,549290
small_cnn,5,severe,severe,2024,0.001,0.2662962962962963,0.23925846330626582,0.5,549290
small_cnn,5,severe,none,99,0.001,0.25685185185185183,0.21778888063845786,0.5,549290
small_cnn,5,severe,moderate,99,0.001,0.25851851851851854,0.22034287058531193,0.5,549290
small_cnn,5,severe,severe,99,0.001,0.26055555555555554,0.22506769370575883,0.5,549290
small_cnn,5,severe,none,17,0.001,0.28314814814814815,0.26795914528634174,0.5,549290
small_cnn,5,severe,moderate,17,0.001,0.2861111111111111,0.2715660991633972,0.5,549290
small_cnn,5,severe,severe,17,0.001,0.30962962962962964,0.2898247444375733,0.5,549290
small_cnn,5,severe,none,256,0.001,0.2825925925925926,0.2441312415124352,0.5,549290
small_cnn,5,severe,moderate,256,0.001,0.28555555555555556,0.24653023211770528,0.5,549290
small_cnn,5,severe,severe,256,0.001,0.2838888888888889,0.24760543873836535,0.5,549290
small_cnn,5,severe,none,512,0.001,0.295,0.27121907463046574,0.5,549290
small_cnn,5,severe,moderate,512,0.001,0.29833333333333334,0.27387708934955796,0.5,549290
small_cnn,5,severe,severe,512,0.001,0.2775925925925926,0.2629131908030013,0.5,549290
small_cnn,5,severe,none,88,0.001,0.277037037037037,0.24945801589860958,0.5,549290
small_cnn,5,severe,moderate,88,0.001,0.2727777777777778,0.24592066758395772,0.5,549290
small_cnn,5,severe,severe,88,0.001,0.2577777777777778,0.23476679241152767,0.5,549290
small_cnn,5,severe,none,314,0.001,0.2912962962962963,0.23504794597020454,0.5,549290
small_cnn,5,severe,moderate,314,0.001,0.2914814814814815,0.23621144283676448,0.5,549290
small_cnn,5,severe,severe,314,0.001,0.29333333333333333,0.23822567861145552,0.5,549290
small_cnn,5,mixed,none,42,0.001,0.33055555555555555,0.3067255769262519,0.4,549290
small_cnn,5,mixed,moderate,42,0.001,0.33740740740740743,0.30859664525200864,0.4,549290
small_cnn,5,mixed,severe,42,0.001,0.3275925925925926,0.2881463848439006,0.4,549290
small_cnn,5,mixed,none,123,0.001,0.27666666666666667,0.23543183928632935,0.5,549290
small_cnn,5,mixed,moderate,123,0.001,0.2733333333333333,0.23459150029094364,0.5,549290
small_cnn,5,mixed,severe,123,0.001,0.2577777777777778,0.2286869875324943,0.5,549290
small_cnn,5,mixed,none,7,0.001,0.3035185185185185,0.26609217012559727,0.5,549290
small_cnn,5,mixed,moderate,7,0.001,0.30185185185185187,0.2641188878456435,0.5,549290
small_cnn,5,mixed,severe,7,0.001,0.2916666666666667,0.25844484293093567,0.5,549290
small_cnn,5,mixed,none,2024,0.001,0.23944444444444443,0.23526831814598795,0.5,549290
small_cnn,5,mixed,moderate,2024,0.001,0.23722222222222222,0.23413655278122342,0.5,549290
small_cnn,5,mixed,severe,2024,0.001,0.21777777777777776,0.21283110412990558,0.5,549290
small_cnn,5,mixed,none,99,0.001,0.2833333333333333,0.2523239535558547,0.4,549290
small_cnn,5,mixed,moderate,99,0.001,0.285,0.25359372278250336,0.4,549290
small_cnn,5,mixed,severe,99,0.001,0.2840740740740741,0.2557465129210862,0.4,549290
small_cnn,5,mixed,none,17,0.001,0.31685185185185183,0.2998926299478618,0.5,549290
