model,shots,degradation,seed,accuracy,f1,train_time_sec,num_params
small_cnn,50,moderate,7,0.5590740740740741,0.5493880746403651,1.6,549290
small_cnn,50,moderate,2024,0.5025925925925926,0.47376786657675385,1.6,549290
small_cnn,50,moderate,99,0.4937037037037037,0.476227446472319,1.6,549290
small_cnn,50,moderate,17,0.5396296296296297,0.5314892041930991,1.6,549290
small_cnn,50,moderate,256,0.5218518518518519,0.509174557299219,1.6,549290
small_cnn,50,moderate,512,0.5444444444444444,0.5430267188284776,1.6,549290
small_cnn,50,moderate,88,0.5424074074074074,0.5225585864235863,1.6,549290
small_cnn,50,moderate,314,0.5653703703703704,0.5492464011560421,1.6,549290
small_cnn,50,severe,42,0.38851851851851854,0.34946721081285403,1.6,549290
small_cnn,50,severe,123,0.519074074074074,0.5036104366365161,1.6,549290
small_cnn,50,severe,7,0.5027777777777778,0.4861232477915677,1.7,549290
small_cnn,50,severe,2024,0.5014814814814815,0.4967504865937859,1.6,549290
small_cnn,50,severe,99,0.5198148148148148,0.5138981040365808,1.6,549290
small_cnn,50,severe,17,0.5125925925925926,0.5077404739313671,1.6,549290
small_cnn,50,severe,256,0.4725925925925926,0.465325403736625,1.6,549290
small_cnn,50,severe,512,0.4753703703703704,0.47759952055852867,1.6,549290
small_cnn,50,severe,88,0.5266666666666666,0.5057719102573109,1.6,549290
small_cnn,50,severe,314,0.5338888888888889,0.5235354976004482,1.6,549290
small_cnn,full,none,42,0.8464814814814815,0.8354726185986705,23.2,549290
small_cnn,full,none,123,0.8335185185185185,0.8277053779310174,22.7,549290
small_cnn,full,none,7,0.777962962962963,0.7723379979205018,23.2,549290
small_cnn,full,none,2024,0.852037037037037,0.8463991663827783,22.8,549290
small_cnn,full,none,99,0.8387037037037037,0.8355382539663225,23.1,549290
small_cnn,full,none,17,0.8511111111111112,0.8477567853822079,23.1,549290
small_cnn,full,none,256,0.8190740740740741,0.8126842814704043,23.1,549290
small_cnn,full,none,512,0.8590740740740741,0.8543365730386355,22.8,549290
small_cnn,full,none,88,0.8374074074074074,0.8349538794857608,22.8,549290
small_cnn,full,none,314,0.8555555555555555,0.8484690934787574,23.2,549290
small_cnn,full,moderate,42,0.8403703703703703,0.8354711774688963,32.3,549290
small_cnn,full,moderate,123,0.8294444444444444,0.8228385270060542,32.5,549290
small_cnn,full,moderate,7,0.8187037037037037,0.8120520152507211,32.2,549290
small_cnn,full,moderate,2024,0.8157407407407408,0.8096403566122315,31.9,549290
small_cnn,full,moderate,99,0.8272222222222222,0.8214780156982702,32.7,549290
small_cnn,full,moderate,17,0.8155555555555556,0.8095801407633887,32.3,549290
small_cnn,full,moderate,256,0.83,0.8232587348661762,32.3,549290
small_cnn,full,moderate,512,0.8264814814814815,0.8215432959124238,32.1,549290
small_cnn,full,moderate,88,0.8311111111111111,0.8254650466008162,32.2,549290
small_cnn,full,moderate,314,0.8351851851851851,0.8278318572305438,32.6,549290
small_cnn,full,severe,42,0.7983333333333333,0.7923828787869795,32.3,549290
small_cnn,full,severe,123,0.7922222222222223,0.784657437759578,32.4,549290
small_cnn,full,severe,7,0.7848148148148149,0.7728081156196615,32.0,549290
small_cnn,full,severe,2024,0.7931481481481482,0.7867730899083683,32.3,549290
small_cnn,full,severe,99,0.7987037037037037,0.79366193747908,31.8,549290
small_cnn,full,severe,17,0.7962962962962963,0.7933462461417896,32.6,549290
small_cnn,full,severe,256,0.7922222222222223,0.7848958405897031,32.3,549290
small_cnn,full,severe,512,0.7877777777777778,0.7810197516569987,32.4,549290
small_cnn,full,severe,88,0.812962962962963,0.8058395018297266,32.0,549290
small_cnn,full,severe,314,0.8103703703703704,0.8044179327477913,32.3,549290
mobilenet,5,none,42,0.5853703703703703,0.5755718912154426,2.6,2236682
mobilenet,5,none,123,0.6029629629629629,0.544485961743748,2.4,2236682
mobilenet,5,none,7,0.6042592592592593,0.571316754370024,2.4,2236682
mobilenet,5,none,2024,0.5424074074074074,0.4670310480329988,2.4,2236682
mobilenet,5,none,99,0.539074074074074,0.4951705034705263,2.4,2236682
mobilenet,5,none,17,0.5916666666666667,0.551060923183717,2.4,2236682
mobilenet,5,none,256,0.6307407407407407,0.6009581254316014,2.4,2236682
mobilenet,5,none,512,0.6748148148148149,0.6511897719507267,2.4,2236682
mobilenet,5,none,88,0.6974074074074074,0.675099676354874,2.4,2236682
mobilenet,5,none,314,0.6025925925925926,0.577698192131919,2.4,2236682
mobilenet,5,moderate,42,0.6537037037037037,0.627443118621675,3.2,2236682
mobilenet,5,moderate,123,0.6275925925925926,0.6013733353522858,3.2,2236682
mobilenet,5,moderate,7,0.6074074074074074,0.5791451823020262,3.2,2236682
mobilenet,5,moderate,2024,0.5962962962962963,0.5757238368502657,3.2,2236682
mobilenet,5,moderate,99,0.6409259259259259,0.6178072004577337,3.2,2236682
mobilenet,5,moderate,17,0.6685185185185185,0.64930033005718,3.2,2236682
mobilenet,5,moderate,256,0.6231481481481481,0.614341654489961,3.2,2236682
mobilenet,5,moderate,512,0.6333333333333333,0.6168314059749365,3.2,2236682
mobilenet,5,moderate,88,0.5957407407407408,0.5555045772211781,3.2,2236682
mobilenet,5,moderate,314,0.645,0.6319381041803901,3.2,2236682
mobilenet,5,severe,42,0.5824074074074074,0.5659635812738364,3.2,2236682
mobilenet,5,severe,123,0.5453703703703704,0.5268654082512684,3.2,2236682
mobilenet,5,severe,7,0.5416666666666666,0.5206050389829,3.2,2236682
mobilenet,5,severe,2024,0.5855555555555556,0.568679832128371,3.2,2236682
mobilenet,5,severe,99,0.5407407407407407,0.5398598812754349,3.2,2236682
mobilenet,5,severe,17,0.5703703703703704,0.5614079475368733,3.2,2236682
mobilenet,5,severe,256,0.5638888888888889,0.5524422349025082,3.2,2236682
mobilenet,5,severe,512,0.605,0.5980275288692198,3.2,2236682
