model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
mobilenet,full,none,none,123,0.0001,0.9790740740740741,0.9784992425585781,134.6,2236682
mobilenet,full,none,severe,123,0.0001,0.10888888888888888,0.01963927855711423,134.6,2236682
mobilenet,full,none,none,7,0.0001,0.9788888888888889,0.9781617656208264,134.8,2236682
mobilenet,full,none,severe,7,0.0001,0.10888888888888888,0.019642558877568064,134.8,2236682
mobilenet,full,none,none,2024,0.0001,0.9753703703703703,0.9742715684708452,134.8,2236682
mobilenet,full,none,severe,2024,0.0001,0.10981481481481481,0.021203524715687996,134.8,2236682
mobilenet,full,none,none,99,0.0001,0.9779629629629629,0.9772126912787471,134.6,2236682
mobilenet,full,none,severe,99,0.0001,0.10888888888888888,0.01963927855711423,134.6,2236682
mobilenet,full,severe,none,42,0.0001,0.20907407407407408,0.18627286875456167,181.7,2236682
mobilenet,full,severe,severe,42,0.0001,0.9690740740740741,0.9681015055056538,181.7,2236682
mobilenet,full,severe,none,123,0.0001,0.26092592592592595,0.20579188167111365,181.6,2236682
mobilenet,full,severe,severe,123,0.0001,0.9637037037037037,0.9634491712670645,181.6,2236682
mobilenet,full,severe,none,7,0.0001,0.3425925925925926,0.2247412318342304,181.3,2236682
mobilenet,full,severe,severe,7,0.0001,0.9648148148148148,0.964037124804212,181.3,2236682
mobilenet,full,severe,none,2024,0.0001,0.15814814814814815,0.1290478041673066,182.0,2236682
mobilenet,full,severe,severe,2024,0.0001,0.9657407407407408,0.9651875373818755,182.0,2236682
mobilenet,full,severe,none,99,0.0001,0.25962962962962965,0.21015710707521507,182.5,2236682
mobilenet,full,severe,severe,99,0.0001,0.9679629629629629,0.9671098751773493,182.5,2236682
vit,5,none,none,42,0.0001,0.7625925925925926,0.7512493183063922,2.6,5526346
vit,5,none,severe,42,0.0001,0.3448148148148148,0.2782162053384629,2.6,5526346
vit,5,none,none,123,0.0001,0.7290740740740741,0.7126379602466277,2.6,5526346
vit,5,none,severe,123,0.0001,0.3401851851851852,0.28577432949089887,2.6,5526346
vit,5,none,none,7,0.0001,0.7475925925925926,0.7188497860657387,2.6,5526346
vit,5,none,severe,7,0.0001,0.4174074074074074,0.32918208832804224,2.6,5526346
vit,5,none,none,2024,0.0001,0.7594444444444445,0.739979422150842,2.6,5526346
vit,5,none,severe,2024,0.0001,0.33240740740740743,0.29658855497438374,2.6,5526346
vit,5,none,none,99,0.0001,0.7466666666666667,0.7253858295738602,2.6,5526346
vit,5,none,severe,99,0.0001,0.3211111111111111,0.25504348355887624,2.6,5526346
vit,5,severe,none,42,0.0001,0.5911111111111111,0.5775857193925892,3.4,5526346
vit,5,severe,severe,42,0.0001,0.617037037037037,0.6040733067296408,3.4,5526346
vit,5,severe,none,123,0.0001,0.5198148148148148,0.5070144123681284,3.4,5526346
vit,5,severe,severe,123,0.0001,0.6140740740740741,0.5940389711734207,3.4,5526346
vit,5,severe,none,7,0.0001,0.5361111111111111,0.5010354903112788,3.4,5526346
vit,5,severe,severe,7,0.0001,0.6331481481481481,0.6175815491714293,3.4,5526346
vit,5,severe,none,2024,0.0001,0.4203703703703704,0.42291867645583076,3.4,5526346
vit,5,severe,severe,2024,0.0001,0.6538888888888889,0.6327282982001484,3.4,5526346
vit,5,severe,none,99,0.0001,0.472962962962963,0.4379923891947758,3.4,5526346
vit,5,severe,severe,99,0.0001,0.5953703703703703,0.5817636051265477,3.4,5526346
vit,full,none,none,42,0.0001,0.9748148148148148,0.9743115496453612,151.5,5526346
vit,full,none,severe,42,0.0001,0.3207407407407407,0.2947665474720658,151.5,5526346
vit,full,none,none,123,0.0001,0.9803703703703703,0.979720751441327,151.3,5526346
vit,full,none,severe,123,0.0001,0.19814814814814816,0.1607548133339301,151.3,5526346
vit,full,none,none,7,0.0001,0.9762962962962963,0.97539994752357,151.3,5526346
vit,full,none,severe,7,0.0001,0.21481481481481482,0.175496814177698,151.3,5526346
vit,full,none,none,2024,0.0001,0.9855555555555555,0.9852239135805407,151.7,5526346
vit,full,none,severe,2024,0.0001,0.2701851851851852,0.2099372276295078,151.7,5526346
vit,full,none,none,99,0.0001,0.9685185185185186,0.9673339070984648,151.2,5526346
vit,full,none,severe,99,0.0001,0.2581481481481481,0.2282213377665526,151.2,5526346
vit,full,severe,none,42,0.0001,0.8853703703703704,0.8841926710774046,182.0,5526346
vit,full,severe,severe,42,0.0001,0.9698148148148148,0.96896354035734,182.0,5526346
vit,full,severe,none,123,0.0001,0.8648148148148148,0.8574721428419803,182.0,5526346
vit,full,severe,severe,123,0.0001,0.965,0.964658289253296,182.0,5526346
vit,full,severe,none,7,0.0001,0.9012962962962963,0.8989158376338556,181.5,5526346
vit,full,severe,severe,7,0.0001,0.9707407407407408,0.9700400590689522,181.5,5526346
vit,full,severe,none,2024,0.0001,0.8974074074074074,0.8943213379056851,182.8,5526346
vit,full,severe,severe,2024,0.0001,0.9731481481481481,0.9725165560707616,182.8,5526346
vit,full,severe,none,99,0.0001,0.8775925925925926,0.8748208453939709,182.0,5526346
vit,full,severe,severe,99,0.0001,0.970925925925926,0.9701474511607848,182.0,5526346
