model,shots,degradation,seed,accuracy,f1
mobilenet,5,severe,256,0.6022222222222222,0.5932567212751351
mobilenet,5,severe,512,0.5757407407407408,0.56531626405942
mobilenet,5,severe,88,0.5818518518518518,0.5800625815147339
mobilenet,5,severe,314,0.6081481481481481,0.5913266007710739
mobilenet,10,none,42,0.6344444444444445,0.5963129731472326
mobilenet,10,none,123,0.672037037037037,0.6500648445616836
mobilenet,10,none,7,0.6394444444444445,0.6065301263387064
mobilenet,10,none,2024,0.642962962962963,0.6116414477358734
mobilenet,10,none,99,0.6285185185185185,0.6128231262224502
mobilenet,10,none,17,0.6253703703703704,0.6002725568306242
mobilenet,10,none,256,0.6509259259259259,0.629649855304988
mobilenet,10,none,512,0.6505555555555556,0.6307166977380427
mobilenet,10,none,88,0.6764814814814815,0.6576550282023209
mobilenet,10,none,314,0.6618518518518518,0.6404361943543394
mobilenet,10,moderate,42,0.7083333333333334,0.6938934813797456
mobilenet,10,moderate,123,0.7033333333333334,0.6824983862012814
mobilenet,10,moderate,7,0.7122222222222222,0.70476443432502
mobilenet,10,moderate,2024,0.687962962962963,0.6732011323521713
mobilenet,10,moderate,99,0.682962962962963,0.6663803481833313
mobilenet,10,moderate,17,0.6862962962962963,0.6693033546962266
mobilenet,10,moderate,256,0.7062962962962963,0.6822059546812941
mobilenet,10,moderate,512,0.7129629629629629,0.7005803460126402
mobilenet,10,moderate,88,0.6931481481481482,0.6840646782420623
mobilenet,10,moderate,314,0.7301851851851852,0.7184184537830345
mobilenet,10,severe,42,0.6642592592592592,0.6484421428892019
mobilenet,10,severe,123,0.6585185185185185,0.644261830023015
mobilenet,10,severe,7,0.6618518518518518,0.6516233258474896
mobilenet,10,severe,2024,0.6481481481481481,0.6279401901193478
mobilenet,10,severe,99,0.6296296296296297,0.6143200927983823
mobilenet,10,severe,17,0.6807407407407408,0.6661503399825226
mobilenet,10,severe,256,0.6453703703703704,0.6253991590488444
mobilenet,10,severe,512,0.6618518518518518,0.6485007263105173
mobilenet,10,severe,88,0.625,0.6128774265746104
mobilenet,10,severe,314,0.67,0.6570255022510648
mobilenet,50,none,42,0.8498148148148148,0.8409367526333833
mobilenet,50,none,123,0.8577777777777778,0.8508757860705136
mobilenet,50,none,7,0.8403703703703703,0.8326810178174892
mobilenet,50,none,2024,0.8472222222222222,0.838603231512059
mobilenet,50,none,99,0.8592592592592593,0.8533408946427621
mobilenet,50,none,17,0.8564814814814815,0.8485415907418797
mobilenet,50,none,256,0.8594444444444445,0.8511100408885465
mobilenet,50,none,512,0.8507407407407407,0.8418799338522828
mobilenet,50,none,88,0.8512962962962963,0.8462394845421752
mobilenet,50,none,314,0.8540740740740741,0.8463743382829465
mobilenet,50,moderate,42,0.8805555555555555,0.876549832951094
mobilenet,50,moderate,123,0.867037037037037,0.863615978566523
mobilenet,50,moderate,7,0.8659259259259259,0.8630688960936007
mobilenet,50,moderate,2024,0.8679629629629629,0.8642349269610458
mobilenet,50,moderate,99,0.8731481481481481,0.8682162464050063
mobilenet,50,moderate,17,0.8762962962962964,0.8728600314847841
mobilenet,50,moderate,256,0.8603703703703703,0.8557896669107251
mobilenet,50,moderate,512,0.8687037037037038,0.8645345471524319
mobilenet,50,moderate,88,0.8638888888888889,0.861440572319378
mobilenet,50,moderate,314,0.8640740740740741,0.8598875253316882
mobilenet,50,severe,42,0.8222222222222222,0.8164606971885882
mobilenet,50,severe,123,0.8105555555555556,0.8059330952224883
mobilenet,50,severe,7,0.8096296296296296,0.8048110735887868
mobilenet,50,severe,2024,0.8166666666666667,0.8108917565122946
mobilenet,50,severe,99,0.8257407407407408,0.8184310579985041
mobilenet,50,severe,17,0.8222222222222222,0.8174219432933267
mobilenet,50,severe,256,0.8237037037037037,0.8173586361375896
mobilenet,50,severe,512,0.8246296296296296,0.8193684845757996
mobilenet,50,severe,88,0.8064814814814815,0.801520375651182
mobilenet,50,severe,314,0.8214814814814815,0.8155714246260113
mobilenet,full,none,42,0.9777777777777776,0.9770369310161968
mobilenet,full,none,123,0.9775925925925926,0.9771156270514864
mobilenet,full,none,7,0.9774074074074074,0.976507665585564
mobilenet,full,none,2024,0.9755555555555556,0.9745627738762096
mobilenet,full,none,99,0.9762962962962964,0.9751551709264716
mobilenet,full,none,17,0.9803703703703704,0.9796672609805424
mobilenet,full,none,256,0.9796296296296296,0.978701731306314
mobilenet,full,none,512,0.9735185185185186,0.9723383326189378
mobilenet,full,none,88,0.9761111111111112,0.975355738090651
mobilenet,full,none,314,0.9792592592592592,0.978303523399623
mobilenet,full,moderate,42,0.9751851851851852,0.9744792398255034
mobilenet,full,moderate,123,0.9687037037037036,0.9679720137166644
mobilenet,full,moderate,7,0.9762962962962964,0.9756035831142912
mobilenet,full,moderate,2024,0.9707407407407408,0.9699576071157386
mobilenet,full,moderate,99,0.9748148148148148,0.9739651495618148
mobilenet,full,moderate,17,0.9755555555555556,0.9750324512568588
mobilenet,full,moderate,256,0.9755555555555556,0.975011887588952
mobilenet,full,moderate,512,0.9757407407407408,0.9752920541713188
mobilenet,full,moderate,88,0.9772222222222222,0.9764286210882128
mobilenet,full,moderate,314,0.9761111111111112,0.974931447496916
mobilenet,full,severe,42,0.9635185185185186,0.962575536698688
mobilenet,full,severe,123,0.960925925925926,0.96040682998515
mobilenet,full,severe,7,0.9677777777777776,0.967351693576169
mobilenet,full,severe,2024,0.9646296296296296,0.963803738362731
mobilenet,full,severe,99,0.9653703703703704,0.96426893123029
mobilenet,full,severe,17,0.9681481481481482,0.967389006621422
mobilenet,full,severe,256,0.9679629629629628,0.967267309382437
mobilenet,full,severe,512,0.9674074074074074,0.9665859197318808
mobilenet,full,severe,88,0.9638888888888888,0.9633728249217646
mobilenet,full,severe,314,0.965925925925926,0.9646450400846956
vit,5,none,42,0.7625925925925926,0.7512493183063922
vit,5,none,123,0.7290740740740741,0.7126379602466277
vit,5,none,7,0.7475925925925926,0.7188497860657387
vit,5,none,2024,0.7594444444444445,0.739979422150842
vit,5,none,99,0.7466666666666667,0.7253858295738602
vit,5,none,17,0.7653703703703704,0.752417519407946
vit,5,none,256,0.7246296296296296,0.7017843694017663
vit,5,none,512,0.7483333333333333,0.734465756750027
vit,5,none,88,0.705,0.6913677426528223
vit,5,none,314,0.712037037037037,0.6929044520919553
vit,5,moderate,42,0.7188888888888889,0.7128189735805144
vit,5,moderate,123,0.6888888888888889,0.6740268036002545
vit,5,moderate,7,0.7214814814814815,0.7015117284813235
vit,5,moderate,2024,0.7607407407407407,0.7391182731916178
vit,5,moderate,99,0.7461111111111111,0.7319821451496813
vit,5,moderate,17,0.7344444444444445,0.720126296437477
vit,5,moderate,256,0.6785185185185185,0.6637626655947327
vit,5,moderate,512,0.7281481481481481,0.7059976952284595
vit,5,moderate,88,0.6927777777777778,0.6845642918599211
vit,5,moderate,314,0.7138888888888889,0.6995278336525489
vit,5,severe,42,0.6090740740740741,0.5947530548208934
vit,5,severe,123,0.6133333333333333,0.5943550079966394
vit,5,severe,7,0.6231481481481481,0.6066714274813171
vit,5,severe,2024,0.6598148148148149,0.6394030459480805
vit,5,severe,99,0.5985185185185186,0.5851949450779284
vit,5,severe,17,0.6709259259259259,0.6598780547259009
vit,5,severe,256,0.6290740740740741,0.6214109580304642
vit,5,severe,512,0.6172222222222222,0.596844280985567
vit,5,severe,88,0.6414814814814814,0.6330505667153211
vit,5,severe,314,0.545,0.5202466379412168
vit,10,none,42,0.8022222222222222,0.8009923613243506
vit,10,none,123,0.8242592592592592,0.8185575233636483
vit,10,none,7,0.8374074074074074,0.8281878347271892
vit,10,none,2024,0.8405555555555555,0.8300344529139446
vit,10,none,99,0.8335185185185185,0.8210326658729468
vit,10,none,17,0.8566666666666667,0.8516111104916726
vit,10,none,256,0.8353703703703703,0.8266818720683423
vit,10,none,512,0.8290740740740741,0.8220450156593462
vit,10,none,88,0.7942592592592592,0.7833102829725656
vit,10,none,314,0.8098148148148148,0.7980756045963076
vit,10,moderate,42,0.8107407407407408,0.8026505343658306
vit,10,moderate,123,0.8127777777777778,0.8064635238432954
vit,10,moderate,7,0.8144444444444444,0.8056011373914457
vit,10,moderate,2024,0.8466666666666667,0.8376231842867521
vit,10,moderate,99,0.8285185185185185,0.817580500033146
vit,10,moderate,17,0.8031481481481482,0.7934559162808763
vit,10,moderate,256,0.802962962962963,0.7942563742375761
vit,10,moderate,512,0.7874074074074074,0.7826094181626935
vit,10,moderate,88,0.8098148148148148,0.8031283699114636
vit,10,moderate,314,0.8346296296296296,0.825138441057609
vit,10,severe,42,0.6314814814814815,0.6243747450176147
vit,10,severe,123,0.6987037037037037,0.6888173505838721
vit,10,severe,7,0.7379629629629629,0.7288862569016141
vit,10,severe,2024,0.682962962962963,0.6730303170264839
vit,10,severe,99,0.675,0.6599081938347441
vit,10,severe,17,0.7383333333333333,0.729325068775493
vit,10,severe,256,0.6809259259259259,0.6666438311284039
vit,10,severe,512,0.6196296296296296,0.587175697443657
vit,10,severe,88,0.7337037037037037,0.7274972801260133
vit,10,severe,314,0.7257407407407407,0.7128489952914701
vit,50,none,42,0.9351851851851852,0.932688821292206
vit,50,none,123,0.932037037037037,0.9299574946645052
vit,50,none,7,0.9337037037037036,0.9312012816193006
vit,50,none,2024,0.9255555555555556,0.9227370287405476
vit,50,none,99,0.9383333333333334,0.936091063218673
vit,50,none,17,0.9437037037037036,0.9421399532702054
vit,50,none,256,0.9357407407407408,0.93325158143473
vit,50,none,512,0.94,0.9385955094842264
vit,50,none,88,0.9218518518518518,0.919463238422814
vit,50,none,314,0.9316666666666666,0.9303238343315806
vit,50,moderate,42,0.9227777777777778,0.9202868094993184
vit,50,moderate,123,0.9205555555555556,0.9183163417090604
vit,50,moderate,7,0.9246296296296296,0.9224298903023388
vit,50,moderate,2024,0.9233333333333332,0.920780051941896
vit,50,moderate,99,0.9344444444444444,0.9323716694430184
vit,50,moderate,17,0.9314814814814816,0.929352141762304
vit,50,moderate,256,0.9142592592592592,0.9111450695499989
vit,50,moderate,512,0.9305555555555556,0.9285776848597485
vit,50,moderate,88,0.9262962962962964,0.9245044693089496
vit,50,moderate,314,0.914074074074074,0.91160199943121
vit,50,severe,42,0.8451851851851852,0.8430285617995119
vit,50,severe,123,0.8759259259259259,0.8722365480122158
vit,50,severe,7,0.8738888888888889,0.8693270555669084
vit,50,severe,2024,0.8479629629629629,0.8432836448514731
vit,50,severe,99,0.8827777777777778,0.8797105456976976
vit,50,severe,17,0.7983333333333333,0.7879601937658716
vit,50,severe,256,0.8661111111111112,0.862569907973111
vit,50,severe,512,0.8107407407407408,0.8100257810670403
vit,50,severe,88,0.8551851851851852,0.8464172974492634
vit,50,severe,314,0.8661111111111112,0.8627190836608734
vit,full,none,42,0.9748148148148148,0.9743115496453612
vit,full,none,123,0.9803703703703704,0.979720751441327
vit,full,none,7,0.9762962962962964,0.97539994752357
vit,full,none,2024,0.9855555555555556,0.9852239135805408
vit,full,none,99,0.9685185185185186,0.9673339070984648
vit,full,none,17,0.9766666666666668,0.9763542904207902
vit,full,none,256,0.9683333333333334,0.9686788177264476
vit,full,none,512,0.9618518518518518,0.9597760794230832
vit,full,none,88,0.9792592592592592,0.9784403311410036
vit,full,none,314,0.980925925925926,0.9802993975863084
vit,full,moderate,42,0.9687037037037036,0.9678069610301688
vit,full,moderate,123,0.9794444444444445,0.9786207812783754
vit,full,moderate,7,0.975925925925926,0.9748426452348692
vit,full,moderate,2024,0.9716666666666668,0.9702977247276968
vit,full,moderate,99,0.9662962962962964,0.9651302518210344
vit,full,moderate,17,0.9729629629629628,0.9722887195230824
vit,full,moderate,256,0.979074074074074,0.978549477452572
vit,full,moderate,512,0.9775925925925926,0.9767639516957848
vit,full,moderate,88,0.9787037037037036,0.977919302521586
vit,full,moderate,314,0.9688888888888888,0.9673164266684514
vit,full,severe,42,0.9735185185185186,0.9730546235950848
vit,full,severe,123,0.9629629629629628,0.962662528362564
vit,full,severe,7,0.970925925925926,0.9700860911655887
vit,full,severe,2024,0.974074074074074,0.9732184429647792
vit,full,severe,99,0.9698148148148148,0.969024104629405
vit,full,severe,17,0.9679629629629628,0.967209914506218
vit,full,severe,256,0.970925925925926,0.970863691614998
vit,full,severe,512,0.969074074074074,0.9680078262893698
vit,full,severe,88,0.9644444444444444,0.9642355051277716
vit,full,severe,314,0.9503703703703704,0.9480561043029094
